ano_assinatura_contrato;numero_processo_formatado;numero_contrato;contrato;nome_empresarial_nome_fornecedor;numero_item_pedido;codigo_item_material_servico_numerico;item_material_servico;unnamed_8;unnamed_9;codigo_elemento_item_despesa;nome_elemento_item_despesa;quantidade_item_pedido;valor_unitario_referencia_item_processo;valor_total_referencia_item_processo;valor_total_homologado
2020;2301762 000039/2019;9245547;DM-22.004/2020;ETHOS ENGENHARIA DE INFRAESTRUTURA S/A;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;9657468,18;9657468,18;6402168,43
2020;2301762 000039/2019;9245547;DM-22.004/2020-A;ETHOS ENGENHARIA DE INFRAESTRUTURA S/A;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;9657468,18;9657468,18;6402168,43
2020;2301762 000039/2019;9245547;DM-22.004/2020-B;ETHOS ENGENHARIA DE INFRAESTRUTURA S/A;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;9657468,18;9657468,18;6402168,43
2020;2301762 000039/2019;9245547;DM-22.004/2020-C;ETHOS ENGENHARIA DE INFRAESTRUTURA S/A;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;9657468,18;9657468,18;6402168,43
2020;2301762 000039/2019;9245547;DM-22.004/2020-D;ETHOS ENGENHARIA DE INFRAESTRUTURA S/A;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;9657468,18;9657468,18;6402168,43
2020;2301762 000040/2019;9245717;DM-22.011/2020;CCR CONSTRUCOES CIVIS E RODOVIARIAS LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;9237748,88;9237748,88;5707080,17
2020;2301762 000040/2019;9245717;DM-22.011/2020-A;CCR CONSTRUCOES CIVIS E RODOVIARIAS LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;9237748,88;9237748,88;5707080,17
2020;2301762 000040/2019;9245717;DM-22.011/2020-B;CCR CONSTRUCOES CIVIS E RODOVIARIAS LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;9237748,88;9237748,88;5707080,17
2020;2301762 000040/2019;9245717;DM-22.011/2020-C;CCR CONSTRUCOES CIVIS E RODOVIARIAS LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;9237748,88;9237748,88;5707080,17
2020;2301762 000040/2019;9245717;DM-22.011/2020-D;CCR CONSTRUCOES CIVIS E RODOVIARIAS LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;9237748,88;9237748,88;5707080,17
2020;2301762 000042/2019;9245587;DM-22.009/2020;CONSTRUTORA SAGENDRA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;9282137,1;9282137,1;5472660,83
2020;2301762 000042/2019;9245587;DM-22.009/2020-A;CONSTRUTORA SAGENDRA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;9282137,1;9282137,1;5472660,83
2020;2301762 000042/2019;9245587;DM-22.009/2020-B;CONSTRUTORA SAGENDRA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;9282137,1;9282137,1;5472660,83
2020;2301762 000042/2019;9245587;DM-22.009/2020-C;CONSTRUTORA SAGENDRA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;9282137,1;9282137,1;5472660,83
2020;2301762 000042/2019;9245587;DM-22.009/2020-D;CONSTRUTORA SAGENDRA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;9282137,1;9282137,1;5472660,83
2020;2301762 000043/2019;9245580;DM-22.012/2020;OBRAGEN ENGENHARIA E CONSTRUCOES LTDA.;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;6933446,97;6933446,97;4624023,06
2020;2301762 000043/2019;9245580;DM-22.012/2020-A;OBRAGEN ENGENHARIA E CONSTRUCOES LTDA.;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;6933446,97;6933446,97;4624023,06
2020;2301762 000043/2019;9245580;DM-22.012/2020-B;OBRAGEN ENGENHARIA E CONSTRUCOES LTDA.;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;6933446,97;6933446,97;4624023,06
2020;2301762 000043/2019;9245580;DM-22.012/2020-C;OBRAGEN ENGENHARIA E CONSTRUCOES LTDA.;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;6933446,97;6933446,97;4624023,06
2020;2301762 000043/2019;9245580;DM-22.012/2020-D;OBRAGEN ENGENHARIA E CONSTRUCOES LTDA.;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;6933446,97;6933446,97;4624023,06
2020;2301762 000044/2019;9245004;DM-22.003/2020;ASEL CONSTRUCOES RODOVIARIAS LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;7472281,93;7472281,93;4624129,63
2020;2301762 000044/2019;9245004;DM-22.003/2020-A;ASEL CONSTRUCOES RODOVIARIAS LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;7472281,93;7472281,93;4624129,63
2020;2301762 000044/2019;9245004;DM-22.003/2020-B;ASEL CONSTRUCOES RODOVIARIAS LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;7472281,93;7472281,93;4624129,63
2020;2301762 000044/2019;9245004;DM-22.003/2020-C;ASEL CONSTRUCOES RODOVIARIAS LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;7472281,93;7472281,93;4624129,63
2020;2301762 000044/2019;9245004;DM-22.003/2020-D;ASEL CONSTRUCOES RODOVIARIAS LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;7472281,93;7472281,93;4624129,63
2020;2301762 000046/2019;9245561;DM-22.006/2020;OBRAGEN ENGENHARIA E CONSTRUCOES LTDA.;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;8223619,88;8223619,88;5341172,68
2020;2301762 000046/2019;9245561;DM-22.006/2020-A;OBRAGEN ENGENHARIA E CONSTRUCOES LTDA.;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;8223619,88;8223619,88;5341172,68
2021;1301608 000001/2021;9318278;DC-018/2021;PAVIDEZ ENGENHARIA LTDA;1;1740;SERVICOS DE IMPLANTACAO E PAVIMENTACAO ASFALTICA;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;40374945,78;40374945,78;38698823,64
2021;1301608 000002/2021;9317793;DC-020/2021;JDS - ENGENHARIA E CONSULTORIA LTDA;1;10693;SERVICOS DE SUPERVISAO DE OBRAS DE ENGENHARIA.;;;3951;SERVICOS DE GERENCIAMENTO, SUPERVISAO E FISCALIZACAO DE OBRAS;1;1712308,14;1712308,14;1104060,87
2021;2301403 000004/2021;9287985;DF-012/2021-A;POLIGRAPH SISTEMAS E REPRESENTACOES LTDA;1;66281;MANUTENCAO EVOLUTIVA E ADAPTATIVA, DESENVOLVIMENTO E SUSTENTACAO DE SISTEMAS DE INFORMACAO;;;4002;SERVICO DE TECNOLOGIA DA INFORMACAO;2;5943215,4;5943215,4;5943215,4
2021;2301403 000009/2021;9288131;ASG-001/2021;HOUER CONSULTORIA LTDA;1;10693;SERVICOS DE SUPERVISAO DE OBRAS DE ENGENHARIA.;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;5454594,96;5454594,96;5453881,68
2021;2301403 000009/2021;9288131;ASG-001/2021;HOUER CONSULTORIA LTDA;3;10693;SERVICOS DE SUPERVISAO DE OBRAS DE ENGENHARIA.;;;3502;SERVICOS DE CONSULTORIA - PESSOA JURIDICA;1;5454594,96;0,0;0,0
2021;2301403 000009/2021;9288131;ASG-001/2021;HOUER CONSULTORIA LTDA;8;10693;SERVICOS DE SUPERVISAO DE OBRAS DE ENGENHARIA.;;;3502;SERVICOS DE CONSULTORIA - PESSOA JURIDICA;1;5454594,96;0,0;0,0
2021;2301403 000070/2021;9315246;ASG-002/2021;FUNDACAO GETULIO VARGAS;1;10693;SERVICOS DE SUPERVISAO DE OBRAS DE ENGENHARIA.;;;3502;SERVICOS DE CONSULTORIA - PESSOA JURIDICA;2;5475216,3;5475216,3;5475216,3
2021;2301403 000070/2021;9315246;ASG-002/2021;FUNDACAO GETULIO VARGAS;16;10693;SERVICOS DE SUPERVISAO DE OBRAS DE ENGENHARIA.;;;3502;SERVICOS DE CONSULTORIA - PESSOA JURIDICA;1;5475216,3;0,0;0,0
2021;2301520 000003/2021;9292030;DC-006/2021;JDS - ENGENHARIA E CONSULTORIA LTDA;1;10693;SERVICOS DE SUPERVISAO DE OBRAS DE ENGENHARIA.;;;3951;SERVICOS DE GERENCIAMENTO, SUPERVISAO E FISCALIZACAO DE OBRAS;1;1568160,72;1568160,72;918244,8
2021;2301520 000005/2021;9388646;DC-007/2021;JDS - ENGENHARIA E CONSULTORIA LTDA;1;10693;SERVICOS DE SUPERVISAO DE OBRAS DE ENGENHARIA.;;;3951;SERVICOS DE GERENCIAMENTO, SUPERVISAO E FISCALIZACAO DE OBRAS;1;1018512,43;1018512,43;611192,16
2021;2301520 000007/2021;9291848;DC-011/2021;CONTEK ENGENHARIA S/A;1;1740;SERVICOS DE IMPLANTACAO E PAVIMENTACAO ASFALTICA;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;54202841,1;54202841,1;44484990,57
2021;2301520 000008/2021;9274460;DC-002/2021;CONSTRUTORA CENTRO LESTE ENGENHARIA LTDA;1;1740;SERVICOS DE IMPLANTACAO E PAVIMENTACAO ASFALTICA;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;34303736,06;34303736,06;34303736,06
2021;2301520 000014/2021;9288096;DC-009/2021;CONSTRUTORA ZAG LTDA;1;1740;SERVICOS DE IMPLANTACAO E PAVIMENTACAO ASFALTICA;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;12724422,33;12724422,33;10466162,19
2021;2301520 000015/2021;9301376;DC-016/2021;MSL - CONSTRUCOES EIRELI;1;1740;SERVICOS DE IMPLANTACAO E PAVIMENTACAO ASFALTICA;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;4145570,8;4145570,8;3534292,42
2021;2301520 000016/2021;9292908;DC-013/2021;TECNOPAV ENGENHARIA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;3141162,0;3141162,0;2639486,14
2021;2301520 000019/2021;9292906;DC-012/2021;IPE ENGENHARIA LTDA;1;1740;SERVICOS DE IMPLANTACAO E PAVIMENTACAO ASFALTICA;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;16309920,67;16309920,67;13773589,14
2021;2301520 000020/2021;9300461;DC-017/2021;ARTEMIS AMBIENTAL LTDA - ME;1;10693;SERVICOS DE SUPERVISAO DE OBRAS DE ENGENHARIA.;;;3951;SERVICOS DE GERENCIAMENTO, SUPERVISAO E FISCALIZACAO DE OBRAS;1;2424192,46;2424192,46;1449681,04
2021;2301520 000022/2021;9301435;DC-015/2021;MINAS EMPREENDIMENTOS DE ENGENHARIA LTDA;1;1740;SERVICOS DE IMPLANTACAO E PAVIMENTACAO ASFALTICA;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;2532988,24;2532988,24;2502526,0
2021;2301520 000025/2021;9301504;DC-014/2021;MSL - CONSTRUCOES EIRELI;1;1740;SERVICOS DE IMPLANTACAO E PAVIMENTACAO ASFALTICA;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;1476823,65;1476823,65;1232250,19
2021;2301520 000026/2021;9309937;DC-019/2021;CONSERVASOLO ENGENHARIA DE PROJETOS E CONSULTORIA TECNICA LTDA;1;1740;SERVICOS DE IMPLANTACAO E PAVIMENTACAO ASFALTICA;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;12222060,77;12222060,77;10835209,91
2021;2301601 000002/2021;9293559;DP-003/2021;ENGEPLUS ENGENHARIA E CONSULTORIA LTDA;1;10774;ESTUDOS E PROJETOS NA AREA DE ENGENHARIA RODOVIARIA, AEROVIARIA ETC;;;5106;ESTUDOS E PROJETOS DE BENS NAO PATRIMONIAVEIS;2;2048605,86;2048605,86;1452371,99
2021;2301601 000003/2020;9291973;DP-002/2021;OBRA DE ARTE ENGENHARIA LTDA;1;10774;ESTUDOS E PROJETOS NA AREA DE ENGENHARIA RODOVIARIA, AEROVIARIA ETC;;;5106;ESTUDOS E PROJETOS DE BENS NAO PATRIMONIAVEIS;1;2347249,56;2347249,56;1175120,88
2021;2301762 000011/2021;9290287;DM-006/2021;ECR EMPRESA DE CONSTRUCAO E CONSERVACAO RODOVIARIA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;2379533,45;2379533,45;1923408,34
2021;2301762 000012/2021;9292103;DM 014/2021;IPE ENGENHARIA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;1474048,23;1474048,23;1133539,14
2021;2301762 000013/2021;9292941;DM-011/2021;CONSTRUTORA ZAG LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;6053425,89;6053425,89;4328792,57
2021;2301762 000014/2021;9290362;DM-007/2021;DURO NA QUEDA CONSTRUCOES LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;3415404,26;3415404,26;2330420,73
2021;2301762 000015/2021;9292942;DM-012/2021;CONSTRUTORA ZAG LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;6931181,48;6931181,48;4896420,52
2021;2301762 000017/2021;9289932;DM-004/2021;CONSTRUTORA CENTRO LESTE ENGENHARIA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;4962065,05;4962065,05;4136778,33
2021;2301762 000021/2021;9301318;DM-030/2021;CONSERVASOLO ENGENHARIA DE PROJETOS E CONSULTORIA TECNICA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;1949775,98;1949775,98;1549159,93
2021;2301762 000025/2021;9310922;DM-029/2021;CONSTRUTORA MARINS LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;9947997,54;9947997,54;8508126,45
2021;2301762 000030/2021;9299234;DM-027/2021;CONSERVASOLO ENGENHARIA DE PROJETOS E CONSULTORIA TECNICA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;777727,06;777727,06;603046,21
2021;2301762 000031/2021;9290304;DM-005/2021;TERRASA ENGENHARIA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;2068422,5;2068422,5;1736030,36
2021;2301762 000032/2021;9310082;DM-028/2021;TRAVESSIA ENGENHARIA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;1444812,21;1444812,21;1120196,0
2021;2301762 000035/2021;9292944;DM-013/2021;CONSTRUTORA ZAG LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;16391561,76;16391561,76;12047146,16
2021;2301762 000040/2021;9290734;DM-009/2021;ETHOS ENGENHARIA DE INFRAESTRUTURA S/A;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;10177562,32;10177562,32;7276572,49
2021;2301762 000043/2021;9300468;DM-017/2021;CONSTRUTORA ZAG LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;346448,97;346448,97;316516,15
2021;2301762 000044/2021;9292849;DM-010/2021;EMCONBRAS EMPRESA DE CONSERVACAO BRASILEIRA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;2240509,01;2240509,01;1795139,59
2021;2301762 000048/2021;9286072;DM-002/2021;TRANSCANTO - TRANSPORTES, CONSTRUCOES E SERVICOS LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;205089,54;205089,54;202955,19
2021;2301762 000049/2021;9287359;DM-003/2021;CONSERVASOLO ENGENHARIA DE PROJETOS E CONSULTORIA TECNICA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;294373,12;294373,12;285636,51
2021;2301762 000050/2021;9309947;DM-018/2021;CONSERVASOLO ENGENHARIA DE PROJETOS E CONSULTORIA TECNICA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;1038806,53;1038806,53;834019,59
2021;2301762 000056/2021;9299246;DM-025/2021;ETHOS ENGENHARIA DE INFRAESTRUTURA S/A;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;24639064,17;24639064,17;17708410,53
2021;2301762 000061/2021;9293762;DM-023/2021;ETHOS ENGENHARIA DE INFRAESTRUTURA S/A;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;7450364,2;7450364,2;5901623,89
2021;2301762 000062/2021;9312383;DM-031/2021;PAVIDEZ ENGENHARIA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;21009140,42;21009140,42;16099106,69
2021;2301762 000064/2021;9300467;DM - 024/2021;CONSTRUTORA CENTRO LESTE ENGENHARIA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;12116156,3;12116156,3;9407108,41
2021;2301762 000065/2021;9313584;DM-033/2021;CONSTRUTORA CENTRO LESTE ENGENHARIA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;27455325,11;27455325,11;22509884,51
2021;2301762 000066/2021;9318435;DM-034/2021;CONSTRUTORA TERRAYAMA LIMITADA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;7354990,8;7354990,8;5794495,5
2021;2301762 000071/2021;9318936;DM-036/2021;COMPANHIA DA OBRA ENGENHARIA E CONSTRUCOES EIRELI;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;1390856,07;1390856,07;1165583,1
2021;2301762 000072/2021;9290345;DM-008/2021;ECR EMPRESA DE CONSTRUCAO E CONSERVACAO RODOVIARIA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;3047210,29;3047210,29;2404075,41
2021;2301762 000074/2021;9315888;DM-035/2021;LCM CONSTRUCAO E COMERCIO S.A;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1;3321030,09;3321030,09;2887381,77
2021;2301901 000003/2021;9275590;DO-001/2021;GCT - GERENCIAMENTO E CONTROLE DE TRANSITO S/A;1;4669;SERVICOS DE APOIO TECNICO;;;3978;SERVICO DE APOIO ADMINISTRATIVO;1;5018867,2;5018867,2;2949000,0
2021;2301901 000003/2021;9275590;DO-001/2021- B;GCT - GERENCIAMENTO E CONTROLE DE TRANSITO S/A;1;4669;SERVICOS DE APOIO TECNICO;;;3978;SERVICO DE APOIO ADMINISTRATIVO;1;5018867,2;5018867,2;2949000,0
2021;2301901 000003/2021;9275590;DO-001/2021- C;GCT - GERENCIAMENTO E CONTROLE DE TRANSITO S/A;1;4669;SERVICOS DE APOIO TECNICO;;;3978;SERVICO DE APOIO ADMINISTRATIVO;1;5018867,2;5018867,2;2949000,0
2021;2301901 000008/2021;9292037;DOV-001/2021;GCT - GERENCIAMENTO E CONTROLE DE TRANSITO S/A;1;66419;SERVICO DE VIGILANCIA ELETRONICA DE TRANSITO E TRAFEGO E    TRATAMENTO DAS IMAGENS;;;3971;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;1;38096438,01;38096438,01;29899995,0
2021;2301901 000008/2021;9292037;DOV-001/2021-A;GCT - GERENCIAMENTO E CONTROLE DE TRANSITO S/A;1;66419;SERVICO DE VIGILANCIA ELETRONICA DE TRANSITO E TRAFEGO E    TRATAMENTO DAS IMAGENS;;;3971;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;1;38096438,01;38096438,01;29899995,0
2021;2301901 000008/2021;9292037;DOV-001/2021-B;GCT - GERENCIAMENTO E CONTROLE DE TRANSITO S/A;1;66419;SERVICO DE VIGILANCIA ELETRONICA DE TRANSITO E TRAFEGO E    TRATAMENTO DAS IMAGENS;;;3971;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;1;38096438,01;38096438,01;29899995,0
2021;2301901 000008/2021;9292040;DOV-002/2021;GCT - GERENCIAMENTO E CONTROLE DE TRANSITO S/A;1;66419;SERVICO DE VIGILANCIA ELETRONICA DE TRANSITO E TRAFEGO E    TRATAMENTO DAS IMAGENS;;;3971;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;1;26246266,54;26246266,54;19899994,99
2021;2301901 000008/2021;9292040;DOV-002/2021-A;GCT - GERENCIAMENTO E CONTROLE DE TRANSITO S/A;1;66419;SERVICO DE VIGILANCIA ELETRONICA DE TRANSITO E TRAFEGO E    TRATAMENTO DAS IMAGENS;;;3971;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;1;26246266,54;26246266,54;19899994,99
2021;2301901 000008/2021;9292042;DOV-003/2021;GCT - GERENCIAMENTO E CONTROLE DE TRANSITO S/A;1;66419;SERVICO DE VIGILANCIA ELETRONICA DE TRANSITO E TRAFEGO E    TRATAMENTO DAS IMAGENS;;;3971;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;1;28189410,98;28189410,98;22899994,99
2021;2301901 000008/2021;9292042;DOV-003/2021-A;GCT - GERENCIAMENTO E CONTROLE DE TRANSITO S/A;1;66419;SERVICO DE VIGILANCIA ELETRONICA DE TRANSITO E TRAFEGO E    TRATAMENTO DAS IMAGENS;;;3971;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;1;28189410,98;28189410,98;22899994,99
2021;2301901 000008/2021;9292042;DOV-003/2021-B;GCT - GERENCIAMENTO E CONTROLE DE TRANSITO S/A;1;66419;SERVICO DE VIGILANCIA ELETRONICA DE TRANSITO E TRAFEGO E    TRATAMENTO DAS IMAGENS;;;3971;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;1;28189410,98;28189410,98;22899994,99
